time_ajustado	gFx	gFy	gFz	TgF
0,004872396	0,0887	0,9454	0,342	1,009
0,005317604	0,0889	0,9464	0,342	1,01
0,005592656	0,0894	0,9467	0,342	1,011
0,005852031	0,0899	0,945	0,3405	1,008
0,006820833	0,0914	0,9427	0,3391	1,006
0,007208438	0,0921	0,9415	0,3386	1,005
0,007488229	0,0919	0,9405	0,3384	1,004
0,007759688	0,0919	0,9391	0,3374	1,002
0,008051406	0,0921	0,9383	0,3369	1,001
0,008365573	0,0931	0,9386	0,3376	1,002
0,008659219	0,0931	0,9388	0,3384	1,002
0,008937813	0,0933	0,9383	0,3388	1,002
0,009232292	0,0941	0,9364	0,3386	1
0,010051198	0,0953	0,9347	0,3384	0,999
0,012514271	0,0958	0,9344	0,3381	0,998
0,013172708	0,0941	0,9347	0,3379	0,998
0,013512135	0,0928	0,9347	0,3379	0,998
0,014601771	0,0933	0,9339	0,3386	0,998
0,018555313	0,0931	0,9322	0,3391	0,996
0,019084896	0,0926	0,932	0,3393	0,996
0,019427188	0,0914	0,9322	0,3393	0,996
0,019715469	0,0914	0,9325	0,3391	0,996
0,020659167	0,0931	0,932	0,3388	0,996
0,021669063	0,0936	0,9312	0,3388	0,995
0,022820677	0,0933	0,9315	0,3391	0,996
0,024065469	0,0933	0,9317	0,3388	0,996
0,025384948	0,0926	0,9325	0,3386	0,996
0,026556719	0,0919	0,9332	0,3398	0,997
0,027607448	0,0914	0,9344	0,3401	0,999
0,028775313	0,0909	0,9366	0,3405	1,001
0,030385365	0,0909	0,9381	0,3415	1,002
0,034671094	0,0902	0,9383	0,3413	1,003
0,035117656	0,0894	0,9381	0,3415	1,002
0,035404271	0,0889	0,9374	0,342	1,002
0,035641563	0,0889	0,9371	0,3423	1,002
0,036167396	0,0902	0,9381	0,3427	1,003
0,03733849	0,0899	0,9383	0,343	1,003
0,038544375	0,0884	0,9383	0,3427	1,003
0,039706771	0,0882	0,9391	0,3437	1,004
0,040933229	0,0877	0,9398	0,3445	1,005
0,042156042	0,0877	0,9405	0,344	1,005
0,043380208	0,088	0,9413	0,3432	1,006
0,044478958	0,0877	0,9403	0,342	1,004
0,045720885	0,0884	0,9405	0,3418	1,005
0,047747969	0,0887	0,9422	0,343	1,007
0,048341094	0,088	0,9427	0,3435	1,007
0,049613698	0,0875	0,9422	0,3425	1,006
0,050834427	0,087	0,9422	0,3423	1,006
0,052012708	0,0872	0,9427	0,3423	1,007
0,053089375	0,0872	0,9427	0,3425	1,007
0,054264948	0,0867	0,9427	0,3425	1,007
0,055611354	0,088	0,9432	0,3425	1,007
0,056716771	0,0887	0,9444	0,3435	1,009
0,058711615	0,0887	0,9444	0,344	1,009
0,05918526	0,0889	0,9439	0,3437	1,009
0,060194688	0,0892	0,943	0,3427	1,007
0,061387917	0,0894	0,9405	0,342	1,005
0,062762865	0,0904	0,9386	0,3418	1,003
0,064811198	0,0909	0,9386	0,3408	1,003
0,066954271	0,0906	0,9383	0,3413	1,003
0,067314375	0,0909	0,9366	0,342	1,001
0,067784844	0,0909	0,9354	0,341	1
