time_ajustado	gFy
0.00487239	0.342
0.00531760	0.342
0.00559265	0.342
0.00585203	0.3405
0.00682083	0.3391
0.00720843	0.3386
0.00748822	0.3384
0.00775968	0.3374
0.00805140	0.3369
0.00836557	0.3376
0.00865921	0.3384
0.00893781	0.3388
0.00923229	0.3386
0.01005119	0.3384
0.01251427	0.3381
0.01317270	0.3379
0.01351213	0.3379
0.01460177	0.3386
0.01855531	0.3391
0.01908489	0.3393
0.01942718	0.3393
0.01971546	0.3391
0.02065916	0.3388
0.02166906	0.3388
0.02282067	0.3391
0.02406546	0.3388
0.02538494	0.3386
0.02655671	0.3398
0.02760744	0.3401
0.02877531	0.3405
0.03038536	0.3415
0.03467109	0.3413
0.03511765	0.3415
0.03540427	0.342
0.03564156	0.3423
0.03616739	0.3427
0.03733849	0.343
0.03854437	0.3427
0.03970677	0.3437
0.04093322	0.3445
0.04215604	0.344
0.04338020	0.3432
0.04447895	0.342
0.04572088	0.3418
0.04774796	0.343
0.04834109	0.3435
0.04961369	0.3425
0.05083442	0.3423
0.05201270	0.3423
0.05308937	0.3425
0.05426494	0.3425
0.05561135	0.3425
0.05671677	0.3435
0.05871161	0.344
0.05918526	0.3437
0.06019468	0.3427
0.06138791	0.342
0.06276286	0.3418
0.06481119	0.3408
0.06695427	0.3413
0.06731437	0.342
0.06778484	0.341
0.06881364	0.341
0.06998078	0.3413
0.07132286	0.3413
0.07249635	0.3415
0.07367390	0.3408
0.07518687	0.3405
0.07608385	0.3408
0.07719015	0.3405
0.07838156	0.3408
0.07982682	0.3413
0.08187744	0.3413
0.08303125	0.3415
0.08462864	0.3408
0.08510401	0.3403
0.08604770	0.3415
0.08709776	0.3418
0.08819442	0.341
0.08938005	0.3405
0.09104906	0.341
0.09176968	0.3408
0.09303515	0.3398
0.09414942	0.3405
0.09534567	0.3418
0.09652385	0.3427
0.09830958	0.3423
0.09930729	0.342
0.10107062	0.3418
0.10195671	0.3405
0.10320630	0.3396
0.10504729	0.3391
0.10623421	0.3388
0.10687974	0.3391
0.10787953	0.3388
0.10924526	0.3391
0.11026171	0.3386
0.11170484	0.3379
0.11280364	0.3371
0.11477671	0.3369
0.11542687	0.3366
0.11661135	0.3374
0.11787411	0.3376
0.11884859	0.3371
0.12002656	0.3369
0.12073140	0.3366
0.12204369	0.3374
0.12321317	0.3381
0.12440828	0.3381
0.12559369	0.3381
0.12692979	0.3386
0.12802724	0.3386
0.12926526	0.3388
0.13179796	0.3398
0.13309968	0.3391
0.13396974	0.3381
0.13497307	0.3386
