t	x	y
0.0000	0.2668	0.5391
0.0334	0.2705	0.5391
0.0667	0.2705	0.5391
0.1001	0.2705	0.5391
0.1335	0.2705	0.5391
0.1668	0.2705	0.5391
0.2002	0.2705	0.5391
0.2336	0.2631	0.5317
0.2669	0.2631	0.5317
0.3003	0.2631	0.5317
0.3337	0.2613	0.5317
0.3670	0.2613	0.5317
0.4004	0.2613	0.5317
0.4338	0.2613	0.5317
0.4671	0.2613	0.5317
0.5005	0.2613	0.5317
0.5339	0.2613	0.5317
0.5672	0.2613	0.5317
0.6006	0.2613	0.5317
0.6340	0.2613	0.5317
0.6673	0.2613	0.5317
0.7007	0.2447	0.4931
0.7341	0.2226	0.4673
0.7674	0.2153	0.4489
0.8008	0.2080	0.4342
0.8342	0.2042	0.4269
0.8675	0.1987	0.4121
0.9010	0.1840	0.3956
0.9343	0.1803	0.3864
0.9676	0.1785	0.3698
1.0010	0.1693	0.3551
1.0344	0.1601	0.3459
1.0677	0.1454	0.3257
1.1011	0.1343	0.3054
1.1345	0.1325	0.2999
1.1678	0.1233	0.2870
1.2012	0.1214	0.2705
1.2346	0.1141	0.2539
1.2679	0.1067	0.2429
1.3013	0.1012	0.2318
1.3347	0.0994	0.2134
1.3680	0.0975	0.2098
1.4014	0.0957	0.2006
1.4348	0.0920	0.1895
1.4681	0.0865	0.1785
1.5015	0.0828	0.1711
1.5349	0.0791	0.1619
1.5682	0.0754	0.1546
1.6016	0.0681	0.1380
1.6350	0.0626	0.1270
1.6683	0.0626	0.1270
1.7017	0.0626	0.1270
1.7351	0.0626	0.1270
1.7684	0.0626	0.1270
1.8018	0.0589	0.1141
1.8351	0.0589	0.1141
1.8685	0.0589	0.1141
1.9019	0.0589	0.1141
1.9352	0.0589	0.1141
1.9686	0.0589	0.1251
2.0020	0.0589	0.1251
2.0353	0.0589	0.1251
2.0687	0.0589	0.1251
2.1021	0.0589	0.1251
2.1354	0.0589	0.1251
2.1688	0.0589	0.1251
2.2022	0.0626	0.1288
2.2355	0.0662	0.1306
2.2689	0.0681	0.1343
2.3023	0.0681	0.1343
2.3356	0.0754	0.1509
2.3690	0.0773	0.1674
2.4024	0.0810	0.1729
2.4357	0.0810	0.1950
2.4691	0.0846	0.2098
2.5025	0.0883	0.2171
2.5358	0.0883	0.2171
2.5692	0.0975	0.2299
2.6026	0.1067	0.2373
2.6359	0.0902	0.2447
2.6693	0.1104	0.2668
2.7027	0.1104	0.2833
2.7360	0.1122	0.2999
2.7694	0.1178	0.3146
2.8028	0.1270	0.3312
2.8361	0.1288	0.3496
2.8695	0.1362	0.3717
2.9029	0.1398	0.3790
2.9362	0.1417	0.3845
2.9696	0.1546	0.4011
3.0030	0.1582	0.4085
3.0363	0.1656	0.4269
3.0697	0.1711	0.4563
3.1031	0.1785	0.4839
3.1364	0.1858	0.4986
3.1698	0.1932	0.5097
3.2032	0.1969	0.5207
3.2365	0.2042	0.5262
3.2699	0.2098	0.5299
3.3033	0.2171	0.5373
3.3366	0.2226	0.5428
3.3700	0.2226	0.5428
3.4034	0.2226	0.5428
3.4367	0.2355	0.5428
3.4701	0.2355	0.5428
3.5035	0.2355	0.5428
